Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2011,Wil Myers,KCR,AA,20,99,354,416,0.254237288,90,8,50,0.597701149,4.457873318774788,0.52554745,0.178707224,1.454545454,4,10047
2011,Mike Trout,LAA,AA,19,91,353,412,0.325779036,115,11,82,0.592105263,8.675973183375367,0.44642857,0.211678832,0.928571428,9,10155
2013,Randal Grichuk,LAA,AA,21,128,500,542,0.256,128,22,85,0.304347826,6.78739614784793,0.49394673,0.168765743,0.853932584,9,10243
2012,Jurickson Profar,TEX,AA,19,126,480,562,0.28125,135,14,76,0.835443037,6.275729646502877,0.47804878,0.151741293,1.079268292,5,10815
2014,Delino DeShields,HOU,AA,21,114,411,507,0.236009732,97,11,75,0.544642857,7.42041366969957,0.43710692,0.16722408,1.040983606,11,11379
2012,Kolten Wong,STL,AA,21,126,523,579,0.286806883,150,9,79,0.594594594,6.190231504391769,0.42511013,0.144144144,1.360248447,7,12532
2013,C.J. Cron,LAA,AA,23,134,519,565,0.273603082,142,14,56,0.277108433,3.6833855859534648,0.46292135,0.19266055,1.095238095,15,12546
2014,Austin Hedges,SDP,AA,21,113,427,457,0.224824355,96,6,31,0.258426966,2.506518237729872,0.51612903,0.191616766,0.956521739,3,12976
2014,Max Muncy,OAK,AA,23,122,434,530,0.262672811,114,7,59,0.956521739,4.291241425558454,0.48997135,0.188953488,0.847682119,2,13301
2015,Matt Olson,OAK,AA,21,133,466,585,0.248927038,116,17,82,0.755395683,3.1330444827783075,0.46865672,0.202416918,0.795918367,6,14344
2015,Nomar Mazara,TEX,AA,20,111,409,470,0.283618581,116,13,57,0.510869565,3.564749822405017,0.42507645,0.224299065,1.243243243,5,14553
2017,Franmil Reyes,SDP,AA,21,135,507,566,0.258382642,131,25,79,0.358208955,3.304981036110058,0.45169713,0.177419354,1.372093023,3,14566
2015,Hunter Dozier,KCR,AA,23,128,475,523,0.212631578,101,12,65,0.298013245,4.382765284680219,0.49386503,0.235668789,0.983471074,1,15117
2015,Hunter Renfroe,SDP,AA,23,112,421,463,0.258907363,109,14,50,0.294642857,4.205263451148639,0.4952381,0.203883495,0.732394366,3,15464
