Name,Team,Level,Age,G,AB,PA,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
Dermis Garcia,WSN,AA,26,108,373,424,68,14,39,0.346456692,2.9826242208993694,0.49596774,0.195020746,0.686956521,4,20926
Gage Workman,DET,AA,24,126,483,556,135,18,85,0.424836601,7.1694288838174,0.47447447,0.25,1.042016806,3,27573
Adael Amador,COL,AA,21,100,383,455,88,14,61,0.704545454,5.851456263187386,0.52348993,0.251724137,1.333333333,5,27962
Tsung-Che Cheng,PIT,AA,22,126,422,500,92,11,64,0.521367521,4.460215977395803,0.40634921,0.203278688,0.975609756,4,28344
Braxton Fulford,COL,AA,25,92,323,379,78,10,47,0.4,5.786323876524248,0.54310345,0.199115044,0.885416666,13,29704
Eliezer Alfonzo,DET,AA,24,97,364,396,93,9,41,0.741935483,2.2934233377998074,0.48071217,0.251497005,1.38095238,4,sa3003262
Alexfri Planez,CLE,AA,22,104,402,425,88,16,46,0.1300813,4.207940711883855,0.43309859,0.194244604,0.914529914,4,sa3005515
Rainer Nunez,TOR,AA,23,105,385,433,106,12,40,0.505747126,3.0535930531250104,0.36423841,0.221843003,2.211267605,1,sa3005551
Bladimir Restituyo,COL,AA,22,111,408,444,110,5,50,0.342465753,4.979933916368631,0.50584795,0.192192192,1.318965517,3,sa3006621
Anthony Seigler,NYY,AA,25,118,364,433,85,12,61,0.831168831,5.716558394512128,0.4862069,0.237762237,0.847457627,2,sa3006894
Jeremiah Jackson,NYM,AA,24,121,453,482,93,19,49,0.186991869,4.366341470047176,0.42942943,0.164133738,1.083333333,2,sa3007740
Warming Bernabel,COL,AA,22,120,479,506,126,9,51,0.25,4.457005944035367,0.5403423,0.281795511,1.013986013,6,sa3008761
Victor Bericoto,SFG,AA,22,115,445,479,116,11,58,0.260869565,3.3060807612373733,0.44578313,0.250764525,1.525773195,2,sa3008767
Dayan Frias,CLE,AA,22,114,370,429,75,5,42,0.471153846,4.450340312202399,0.50553506,0.210526315,1.234042553,5,sa3008768
Alex De Jesus,TOR,AA,22,99,385,425,100,8,48,0.294117647,3.534303766012263,0.4754717,0.266409266,1.5,4,sa3008842
Gabriel Martinez,TOR,AA,21,102,363,397,77,6,28,0.451612903,2.381018882860034,0.50491803,0.190163934,1.024590163,2,sa3008865
Carlos Mendoza,DET,AA,24,114,420,515,113,5,86,0.786516853,7.983596838644434,0.40532544,0.22392638,1.941860465,18,sa3008944
Aaron Bracho,CLE,AA,23,97,358,405,79,8,41,0.45,3.9310011231883246,0.50176678,0.189285714,0.746153846,5,sa3010018
J.T. Arruda,WSN,AA,26,119,387,442,85,3,45,0.440860215,5.412811370661286,0.41447368,0.225694444,1.397849462,4,sa3010036
Yordys Valdes,CLE,AA,22,109,360,411,83,8,50,0.357723577,6.994293617095774,0.4813278,0.222222222,1.637681159,2,sa3010037
Jake Holton,DET,AA,26,96,351,410,98,14,62,0.483516483,3.843932353575976,0.46415094,0.236220472,1.365853658,11,sa3010599
Sammy Siani,PIT,AA,23,96,351,394,89,5,49,0.432098765,7.126626527357426,0.49270073,0.21189591,1.554216867,3,sa3010704
Kervin Pichardo,PIT,AA,22,118,421,459,106,11,57,0.2109375,4.899216023430046,0.43243243,0.202090592,1.18095238,6,sa3011260
Jase Bowen,PIT,AA,23,110,407,450,98,10,57,0.273584905,6.301411976475433,0.45954693,0.228956228,0.892561983,6,sa3011267
Marcus Lee Sang,PHI,AA,23,103,385,425,92,13,61,0.3,6.783253861297618,0.41924399,0.210526315,1.616279069,4,sa3011445
Trei Cruz,DET,AA,25,102,384,440,100,9,57,0.4375,3.91519457148367,0.42238267,0.232727272,0.971962616,1,sa3014420
Petey Halpin,CLE,AA,22,90,356,405,83,12,54,0.452631578,6.230565874749585,0.41198502,0.260536398,0.754545454,1,sa3014461
Carson Taylor,PHI,AA,25,109,372,450,103,16,53,0.697916666,4.351768845878649,0.44169611,0.257142857,1.212765957,5,sa3014468
Blaze Jordan,BOS,AA,21,89,353,380,92,7,35,0.391304347,2.888951679766652,0.4775641,0.203278688,1.150442477,6,sa3014537
Milan Tolentino,CLE,AA,22,111,395,441,95,9,53,0.366071428,5.623669071473941,0.39160839,0.237588652,0.791666666,2,sa3014544
Jimmy Glowenke,SFG,AA,25,105,337,392,67,7,47,0.363636363,4.183191203546622,0.53333333,0.244979919,0.79047619,18,sa3014548
Alex Ramirez,NYM,AA,21,123,481,542,101,5,62,0.447154471,7.11969669891154,0.41944444,0.185915492,1.240310077,1,sa3014695
Elijah Dunham,NYY,AA,26,99,347,394,86,15,49,0.392523364,6.86034940618509,0.51652893,0.264462809,0.854166666,3,sa3014827
Samuel Basallo,BAL,AA,19,106,398,446,115,16,57,0.482352941,3.3594982444478765,0.44025157,0.249201277,1.422680412,2,sa3015716
Frederick Bencosme,BAL,AA,21,125,445,504,107,8,64,0.597560975,6.735288785925413,0.46091644,0.273480662,0.977443609,3,sa3016779
Andy Thomas,SFG,AA,26,115,378,432,85,5,49,0.494252873,3.750325551878816,0.4040404,0.243055555,0.946428571,6,sa3016953
Chris Meyers,DET,AA,25,122,442,503,113,18,67,0.353846153,3.097019615916601,0.45541401,0.233009708,0.926829268,13,sa3016956
Grant Richardson,NYY,AA,24,108,389,431,100,9,53,0.264462809,5.678976289606252,0.41391941,0.223048327,1.580246913,5,sa3016964
Ben Malgeri,DET,AA,24,117,421,470,106,12,67,0.29054054,7.0850816329343855,0.35507246,0.271375464,1.545454545,3,sa3016975
Ben Cowles,NYY,AA,24,88,326,378,96,9,52,0.582089552,6.34371122638573,0.46415094,0.223938223,0.794642857,7,sa3016976
