Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2013,"Danny Ortiz","MIN","AA",23,133,483,520,0.258799171,125,12,63,0.310344827,3.666701665933007,0.47630923,0.148717948,0.720207253,4,"10317"
2013,"Danny Santana","MIN","AA",22,131,539,588,0.296846011,160,2,66,0.252631578,7.288239194262427,0.41484716,0.142857142,1.554054054,8,"10322"
2014,"Ramon Cabrera","DET","AA",24,107,394,431,0.276649746,109,5,42,0.891891891,2.0057910361554354,0.40389972,0.205128205,2.282352941,0,"10327"
2012,"Ramon Cabrera","PIT","AA",22,112,384,428,0.276041666,106,3,47,0.866666666,2.881077564230889,0.4664723,0.181008902,1.67961165,0,"10327"
2013,"Slade Heathcott","NYY","AA",22,103,399,444,0.260651629,104,8,59,0.336448598,7.0328001365835116,0.43434343,0.128027681,1.355140186,4,"10336"
2017,"Slade Heathcott","SFG","AA",26,93,347,394,0.262247838,91,12,52,0.420454545,4.839054946682267,0.46007605,0.240310077,1.227272727,4,"10336"
2014,"Gift Ngoepe","PIT","AA",24,131,437,499,0.23798627,104,9,58,0.377777777,6.355161459591025,0.47557003,0.094276094,1.299145299,2,"10340"
2014,"Mike Ohlman","BAL","AA",23,113,403,454,0.235732009,95,2,40,0.5,1.764180665,0.47058824,0.193548387,1.293577981,2,"10347"
2013,"Daniel Fields","DET","AA",22,118,457,515,0.284463894,130,10,71,0.346153846,7.256769635498141,0.4186747,0.237804878,1.252252252,8,"10390"
2013,"Wilfredo Tovar","NYM","AA",21,133,441,486,0.263038548,116,4,70,0.673469387,5.775824274633698,0.41353383,0.170157068,1.186206896,7,"10416"
2011,"Adeiny Hechavarria","TOR","AA",22,111,464,502,0.234913793,109,6,58,0.32051282,6.525346721003459,0.42385787,0.167101827,1.311594202,3,"10459"
2012,"Cesar Hernandez","PHI","AA",22,103,411,450,0.304136253,125,2,50,0.402985074,6.397156236370339,0.38176638,0.206489675,2.280487804,0,"10556"
2016,"Joey Terdoslavich","BAL","AA",27,109,394,459,0.246192893,97,14,53,0.845070422,1.72240259,0.37730061,0.207547169,1.172413793,3,"10593"
2012,"Bryce Brentz","BOS","AA",23,122,456,504,0.296052631,135,17,62,0.307692307,3.4150746460894386,0.47272727,0.179012345,1.313043478,4,"10607"
