Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2013,"Christian Bethancourt","ATL","AA",21,90,358,388,0.276536312,99,12,42,0.280701754,3.7408301735051914,0.514377,0.167213114,1.048387096,2,"10028"
2013,"Tucker Barnhart","CIN","AA",22,98,339,395,0.25958702,88,3,30,0.789473684,2.1659023909179513,0.45172414,0.224561403,1.278350515,3,"10200"
2012,"Scooter Gennett","MIL","AA",22,133,533,573,0.292682926,156,5,66,0.394366197,4.489138246225661,0.35531915,0.192982456,1.343949044,3,"10339"
2008,"Danny Dorn","CIN","AA",23,98,336,388,0.276785714,93,21,64,0.5,4.016674684609026,0.49411765,0.187250996,0.619047619,7,"1050"
2012,"Ryan LaMarre","CIN","AA",23,133,482,558,0.263485477,127,5,68,0.50420168,6.1162044322716635,0.41643836,0.2,1.102189781,10,"10700"
2013,"Ryan LaMarre","CIN","AA",24,126,451,515,0.246119733,111,10,56,0.473118279,5.7670175969824475,0.49728261,0.162464985,1.265151515,11,"10700"
2013,"Arismendy Alcantara","CHC","AA",21,133,494,571,0.27125506,134,15,69,0.496,6.446115150225069,0.46997389,0.180821917,1.231343283,2,"10711"
2012,"Tyler Saladino","CHW","AA",22,112,418,509,0.236842105,99,4,71,0.824175824,7.212629571573844,0.42089552,0.159021406,1.370689655,8,"10807"
2013,"Tyler Saladino","CHW","AA",23,118,424,493,0.228773584,97,5,49,0.593023255,5.870776789499512,0.46857143,0.184523809,1.322033898,6,"10807"
2012,"Todd Cunningham","ATL","AA",23,120,466,519,0.309012875,144,3,77,0.745098039,6.852655665742093,0.41981132,0.160583941,1.346938775,4,"10822"
2014,"Rangel Ravelo","CHW","AA",22,133,476,551,0.308823529,147,11,72,0.727272727,4.616733540854426,0.46585366,0.224438902,1.101351351,9,"10839"
2012,"Phil Gosselin","ATL","AA",23,128,483,547,0.242236024,117,3,55,0.511111111,4.932104396748896,0.40601504,0.144329896,1.338028169,9,"10953"
2013,"Kevin Kiermaier","TBR","AA",23,97,371,417,0.309973045,115,5,65,0.508196721,6.87140932132581,0.45859873,0.167763157,2.085365853,8,"11038"
2013,"Mike Freeman","ARI","AA",25,131,454,536,0.246696035,112,1,61,0.773809523,4.791690735880034,0.36052632,0.216666666,2.279069767,6,"11241"
2012,"Andy Wilkins","CHW","AA",23,116,435,502,0.239080459,104,17,68,0.670212765,3.710127441905578,0.40869565,0.160237388,0.684523809,1,"11251"
2013,"Matt Szczur","CHC","AA",23,128,512,574,0.28125,144,3,78,0.666666666,5.781068509540667,0.44369369,0.156682027,2.238938053,6,"11255"
2013,"Mark Canha","MIA","AA",24,128,425,504,0.272941176,116,13,63,0.529411764,4.524896992346674,0.50598802,0.198113207,1.056451612,15,"11445"
2015,"Willson Contreras","CHC","AA",23,126,454,521,0.332599118,151,8,71,0.919354838,3.7332040370427837,0.46717172,0.213917525,2.177083333,7,"11609"
2008,"Chris Valaika","CIN","AA",22,97,379,417,0.300791556,114,11,58,0.378378378,4.104873381783197,0.38141026,0.217821782,0.958677685,3,"1165"
2013,"Christian Villanueva","CHC","AA",22,133,490,542,0.261224489,128,19,60,0.29059829,3.2580120265807864,0.53141361,0.181333333,0.696132596,9,"11738"
2013,"J.T. Realmuto","MIA","AA",22,106,368,416,0.239130434,88,5,41,0.529411764,5.404283245438011,0.46254072,0.194719471,1.085470085,5,"11739"
2014,"J.T. Realmuto","MIA","AA",23,97,375,423,0.298666666,112,8,66,0.694915254,7.329503515313215,0.44375,0.205696202,1.241071428,3,"11739"
2013,"Jason Rogers","MIL","AA",25,133,481,549,0.27027027,130,22,69,0.686046511,3.9524385573194825,0.54455446,0.159090909,1.08125,1,"11773"
2014,"Noel Cuevas","LAD","AA",22,131,425,471,0.230588235,98,7,50,0.336956521,6.0260084055101615,0.4622093,0.204968944,1.415094339,2,"11894"
2013,"Joc Pederson","LAD","AA",21,123,439,519,0.277904328,122,22,81,0.614035087,6.387456446790698,0.45592705,0.169753086,1.152,5,"11899"
2016,"Yefri Perez","MIA","AA",25,84,328,377,0.259146341,85,1,49,0.59090909,7.447630967148617,0.39483395,0.15,2.112676056,1,"12090"
2014,"Ryan Brett","TBR","AA",22,107,422,459,0.303317535,128,8,64,0.324324324,7.424133581224838,0.48033708,0.150289017,1.370967741,5,"12138"
2015,"Max Kepler","MIN","AA",22,112,407,482,0.321867321,131,9,76,1.063492063,7.180906063819242,0.42450142,0.238372093,0.969924812,2,"12144"
2013,"Nick Ahmed","ARI","AA",23,136,487,538,0.23613963,115,4,58,0.458333333,6.759723735523623,0.51990632,0.181598062,1.194805194,5,"12147"
2014,"Kyle Kubitza","ATL","AA",23,132,440,529,0.295454545,130,8,76,0.578947368,7.055778636913907,0.41214058,0.208469055,1.405940594,7,"12148"
2014,"Jake Hager","TBR","AA",21,114,447,490,0.270693512,121,4,41,0.329670329,3.7331699187907974,0.48767123,0.195402298,1.222222222,2,"12198"
2014,"Scott Schebler","LAD","AA",23,135,489,560,0.280163599,137,28,82,0.409090909,6.41885707886491,0.49608355,0.195767195,1.096551724,22,"12225"
2014,"Kevan Smith","CHW","AA",26,106,389,449,0.290488431,113,10,45,0.676470588,2.786412858783538,0.41717791,0.19047619,1.55,9,"12284"
2014,"Taylor Motter","TBR","AA",24,119,451,505,0.274944567,124,16,60,0.478873239,5.232433426501373,0.51020408,0.151436031,1.11038961,5,"12399"
2015,"Tyler Smith","SEA","AA",23,121,443,520,0.270880361,120,3,40,0.717647058,3.647579644928819,0.49326146,0.213068181,1.451327433,3,"12490"
2013,"Marcus Semien","CHW","AA",22,105,393,484,0.290076335,114,15,90,1.272727272,7.019450871379776,0.49386503,0.242902208,0.93548387,4,"12533"
2014,"Nick Ramirez","MIL","AA",24,133,490,552,0.230612244,113,19,71,0.361842105,4.026277544236919,0.51169591,0.165680473,0.867549668,4,"12575"
2015,"Nick Ramirez","MIL","AA",25,131,432,501,0.243055555,105,14,63,0.556521739,2.6600186835181185,0.41538462,0.210031347,0.691275167,1,"12575"
2014,"O'Koyea Dickson","LAD","AA",24,126,461,520,0.268980477,124,17,71,0.567164179,4.079645404686762,0.41396509,0.152671755,0.556074766,14,"12677"
2019,"Dillon Thomas","MIL","AA",26,131,449,504,0.265033407,119,13,62,0.31060606,6.76651569475643,0.3875,0.171974522,1.321428571,11,"12719"
2015,"Socrates Brito","ARI","AA",22,129,490,522,0.3,147,9,70,0.345238095,7.2481731951785235,0.39460784,0.2,1.417910447,1,"12944"
2013,"Mikie Mahtook","TBR","AA",23,132,511,568,0.252446183,129,7,71,0.421568627,7.3825552256869695,0.47688564,0.192982456,1.19047619,10,"13130"
2017,"Jose Briceno","LAA","AA",24,92,351,378,0.193732193,68,9,34,0.315068493,4.894476319855501,0.43617021,0.166064981,0.763358778,0,"13151"
2015,"Jorge Polanco","MIN","AA",21,95,394,431,0.289340101,114,6,55,0.555555555,5.521772016388077,0.52852853,0.272727272,1.424242424,0,"13152"
2015,"Tyler Goeddel","TBR","AA",22,123,473,533,0.279069767,132,12,68,0.489795918,7.335521193563617,0.46981627,0.217741935,1.694444444,6,"13180"
2015,"Orlando Arcia","MIL","AA",20,129,512,552,0.306640625,157,8,74,0.410958904,6.964500588567616,0.50782998,0.205542725,1.263157894,3,"13185"
2015,"Michael Reed","MIL","AA",22,93,313,377,0.277955271,87,5,43,0.6625,7.003708181055345,0.40740741,0.220338983,1.216867469,3,"13228"
2016,"Zach Vincej","CIN","AA",25,121,399,438,0.280701754,112,3,45,0.294117647,4.366091008197569,0.46273292,0.274760383,1.182692307,6,"13269"
2014,"Richie Shaffer","TBR","AA",23,119,425,490,0.22117647,94,19,58,0.487179487,5.24608085880358,0.54662379,0.15409836,0.75510204,5,"13271"
2014,"Darnell Sweeney","LAD","AA",23,132,490,586,0.287755102,141,14,88,0.658119658,5.309586867961035,0.43556701,0.211229946,1.153284671,5,"13284"
2014,"Jake Lamb","ARI","AA",23,103,374,439,0.320855614,120,14,60,0.5,4.410569587813573,0.42605634,0.214285714,0.964285714,6,"13329"
