Season,Name,Team,Level,Age,G,AB,PA,AVG,H,HR,R,BB/K,Spd,Pull%,LD%,GB/FB,HBP,PlayerId
2011,"Wil Myers","KCR","AA",20,99,354,416,0.254237288,90,8,50,0.597701149,4.457873318774788,0.52554745,0.178707224,1.454545454,4,"10047"
2011,"Grant Green","OAK","AA",23,127,530,587,0.290566037,154,9,76,0.327731092,3.3847618045887304,0.4478673,0.198529411,1.53488372,6,"10053"
2011,"Mike Trout","LAA","AA",19,91,353,412,0.325779036,115,11,82,0.592105263,8.675973183375367,0.44642857,0.211678832,0.928571428,9,"10155"
2013,"Randal Grichuk","LAA","AA",21,128,500,542,0.256,128,22,85,0.304347826,6.78739614784793,0.49394673,0.168765743,0.853932584,9,"10243"
2014,"Rafael Ortega","STL","AA",23,101,358,414,0.248603351,89,7,56,0.789473684,5.657833253666204,0.39935065,0.207482993,1.617977528,1,"10323"
2012,"Rey Fuentes","SDP","AA",21,136,473,541,0.217758985,103,4,53,0.390977443,6.752451784527081,0.41498559,0.146706586,1.821782178,6,"10329"
2013,"Rey Fuentes","SDP","AA",22,93,345,403,0.315942028,109,6,56,0.577464788,6.121227305515698,0.44755245,0.172794117,2.125,6,"10329"
2015,"Mike Ohlman","STL","AA",24,103,366,417,0.273224043,100,12,53,0.597402597,1.617492108913585,0.4760274,0.215277777,0.948275862,2,"10347"
2013,"Domingo Santana","HOU","AA",20,112,416,476,0.252403846,105,25,72,0.330935251,5.35957781980693,0.47670251,0.169117647,1.073394495,13,"10348"
2012,"Jon Singleton","HOU","AA",20,131,461,555,0.284164859,131,21,94,0.671755725,5.166709111955793,0.41071429,0.201219512,1.015384615,1,"10441"
2017,"Jon Singleton","HOU","AA",25,117,385,500,0.205194805,79,18,55,0.81060606,2.373173135510833,0.44401544,0.207843137,0.787610619,2,"10441"
2013,"Enrique Hernandez","HOU","AA",21,116,437,483,0.23569794,103,13,53,0.485714285,3.850770333852412,0.53743316,0.17032967,0.961038961,5,"10472"
2014,"Cheslor Cuthbert","KCR","AA",21,96,355,395,0.276056338,98,10,35,0.537313432,3.652298831832894,0.43150685,0.178947368,1.14678899,1,"10473"
2013,"Rico Noel","SDP","AA",24,131,496,576,0.266129032,132,0,74,0.436974789,7.790617173436025,0.41176471,0.170666666,2.27368421,13,"10585"
2012,"Mike Olt","TEX","AA",23,95,354,421,0.288135593,102,28,65,0.603960396,3.9236055444721156,0.45275591,0.167346938,0.837837837,4,"10698"
2014,"Lane Adams","KCR","AA",24,105,405,465,0.269135802,109,11,65,0.523255813,7.1142998891849105,0.47076923,0.224683544,0.842105263,9,"10767"
2015,"Lane Adams","KCR","AA",25,97,373,414,0.297587131,111,12,58,0.367346938,6.910418307442176,0.41218638,0.232727272,1.009523809,2,"10767"
2012,"Jurickson Profar","TEX","AA",19,126,480,562,0.28125,135,14,76,0.835443037,6.275729646502877,0.47804878,0.151741293,1.079268292,5,"10815"
2014,"Cody Stanley","STL","AA",25,103,385,434,0.283116883,109,12,47,0.514705882,5.108218597859258,0.41411043,0.226006191,1.173913043,3,"10838"
2012,"Ryan Strausborger","TEX","AA",24,116,433,482,0.247113163,107,6,62,0.326732673,8.680590261768153,0.49262537,0.14678899,1.632075471,7,"10937"
2013,"Ryan Strausborger","TEX","AA",25,133,461,518,0.216919739,100,10,50,0.372549019,6.77206509030029,0.4851752,0.145658263,1.3828125,7,"10937"
2012,"Greg Garcia","STL","AA",22,124,412,504,0.283980582,117,10,81,0.963855421,5.0761831854954025,0.41964286,0.184049079,1.891304347,7,"10951"
2015,"Colin Walsh","OAK","AA",25,134,487,619,0.301848049,147,13,96,0.946564885,4.791506661232899,0.47910864,0.317280453,1.095652173,5,"10961"
2011,"Christian Colon","KCR","AA",22,127,491,568,0.256619144,126,8,69,0.901960784,5.126894066042893,0.46854664,0.172727272,1.563380281,6,"11145"
2012,"Josh Rutledge","COL","AA",23,87,356,379,0.306179775,109,13,57,0.20289855,6.613639869342928,0.4982699,0.168458781,1.071428571,5,"11167"
2012,"Oscar Taveras","STL","AA",20,124,477,531,0.320754716,153,23,83,0.75,6.282049153035868,0.44730679,0.133333333,1.394736842,7,"11173"
2013,"Brett Nicholas","TEX","AA",24,136,506,575,0.288537549,146,21,71,0.373983739,3.4805055655935657,0.39185751,0.234536082,0.94117647,13,"11192"
2013,"Brett Eibner","KCR","AA",24,114,441,504,0.242630385,107,19,74,0.355704697,6.363581189764263,0.51013514,0.18771331,0.619047619,6,"11369"
2012,"Michael Choice","OAK","AA",22,91,359,402,0.286908077,103,10,59,0.375,4.922244197226431,0.36630037,0.195571955,1.319148936,7,"11376"
2014,"Delino DeShields","HOU","AA",21,114,411,507,0.236009732,97,11,75,0.544642857,7.42041366969957,0.43710692,0.16722408,1.040983606,11,"11379"
2015,"Drew Maggi","LAA","AA",26,125,422,483,0.241706161,102,0,50,0.548780487,4.882470363894595,0.44956772,0.228486646,2.13253012,6,"11381"
2017,"Kyle Waldrop","SEA","AA",25,109,412,464,0.303398058,125,10,61,0.430232558,2.8662445925478552,0.49698795,0.234756097,0.93076923,8,"11402"
2013,"Odubel Herrera","TEX","AA",21,101,389,412,0.257069408,100,2,37,0.253731343,6.595892347085412,0.40490798,0.1375,1.875,1,"11476"
2014,"Odubel Herrera","TEX","AA",22,96,368,408,0.320652173,118,2,47,0.414285714,5.41159981541102,0.37581699,0.202054794,2.328571428,3,"11476"
2013,"Kaleb Cowart","LAA","AA",21,132,498,546,0.220883534,110,6,48,0.306451612,4.436019890719403,0.43421053,0.197297297,2.159574468,3,"11494"
2014,"Kaleb Cowart","LAA","AA",22,126,435,487,0.222988505,97,6,48,0.434343434,6.448076700412375,0.43108504,0.173134328,1.347457627,3,"11494"
2010,"Andrew Romine","LAA","AA",24,106,383,454,0.281984334,108,3,55,0.757575757,5.945505944465486,0.43465046,0.205696202,1.988095238,5,"1159"
2014,"Drew Robinson","TEX","AA",22,96,331,377,0.190332326,63,11,41,0.296,5.96806468174832,0.49763033,0.121359223,0.63063063,2,"11761"
2015,"Drew Robinson","TEX","AA",23,126,432,519,0.231481481,100,21,78,0.597122302,5.978765270041193,0.5170068,0.214532871,0.907563025,4,"11761"
2013,"Kyle Parker","COL","AA",23,123,480,528,0.2875,138,23,70,0.404040404,3.9882914106608274,0.39896373,0.209115281,1.521367521,4,"11763"
2013,"Hanser Alberto","TEX","AA",20,100,356,384,0.213483146,76,4,37,0.390243902,6.252914125987651,0.47839506,0.144230769,1.119047619,5,"11902"
2013,"Orlando Calixte","KCR","AA",21,123,484,536,0.25,121,8,59,0.320610687,5.190807694915738,0.50137741,0.146974063,1.930693069,3,"11905"
2014,"Orlando Calixte","KCR","AA",22,96,374,412,0.240641711,90,11,43,0.29347826,4.1108295223541695,0.44217687,0.164285714,1.34,0,"11905"
2015,"David Washington","STL","AA",24,97,340,379,0.273529411,93,16,39,0.280991735,2.840394419795561,0.40807175,0.243243243,0.768421052,1,"12110"
2014,"Jorge Bonifacio","KCR","AA",21,132,505,566,0.22970297,116,4,49,0.393700787,4.695553944560419,0.40625,0.206896551,1.034013605,5,"12174"
2015,"Jorge Bonifacio","KCR","AA",22,125,483,536,0.240165631,116,17,60,0.333333333,3.5696410047264275,0.46280992,0.228169014,0.701863354,5,"12174"
2016,"Beau Taylor","OAK","AA",26,95,339,401,0.280235988,95,5,50,0.627906976,2.040940477777716,0.47859922,0.203921568,1.569620253,4,"12384"
